ID do Usuario;	Nome do Usuario;	Reputacao;	Taxa de Aceitacao;
22656;	Jon Skeet;	1183490;	86;
1144035;	Gordon Linoff;	958338;	null;
6309;	VonC;	952655;	100;
157882;	BalusC;	930979;	93;
29407;	Darin Dimitrov;	912476;	86;
23354;	Marc Gravell;	865183;	100;
115145;	CommonsWare;	851904;	84;
17034;	Hans Passant;	839394;	null;
100297;	Martijn Pieters;	812146;	null;
157247;	T.J. Crowder;	794326;	91;
893;	Greg Hewgill;	759093;	84;
34397;	SLaks;	751956;	87;
19068;	Quentin;	730375;	null;
14860;	paxdiablo;	713749;	100;
95810;	Alex Martelli;	703136;	80;
5445;	CMS;	667795;	null;
61974;	Mark Byers;	663030;	null;
20862;	Ignacio Vazquez-Abrams;	649201;	50;
335858;	dasblinkenlight;	649174;	81;
218196;	Felix Kling;	642675;	100;
190597;	unutbu;	639748;	88;
13302;	marc_s;	635267;	99;
23283;	JaredPar;	633599;	100;
15168;	Jonathan Leffler;	626833;	100;
69083;	Guffa;	605636;	null;
571407;	JB Nizet;	600169;	100;
548225;	anubhava;	594214;	90;
88656;	Eric Lippert;	589376;	null;
19563;	CB Bailey;	589219;	null;
139985;	Stephen C;	586200;	69;
106224;	BoltClock;	584982;	96;
13249;	Nick Craver;	570890;	100;
53114;	Gumbo;	559926;	45;
505088;	David Heffernan;	552994;	91;
3732271;	akrun;	552632;	null;
18393;	cletus;	551352;	82;
203907;	Bozho;	529300;	81;
1491895;	Barmar;	519995;	69;
70604;	Pascal Thivent;	516027;	null;
816620;	jfriend00;	515216;	64;
104349;	Daniel Roseman;	508559;	86;
2901002;	jezrael;	507517;	97;
65358;	Reed Copsey;	501446;	78;
9951;	e-satis;	479465;	78;
57695;	Peter Lawrey;	478681;	75;
18936;	bobince;	476370;	null;
9021;	nickf;	472945;	70;
12950;	tvanfosson;	466313;	94;
1187415;	Martin R;	455187;	88;
1048572;	Bergi;	449186;	77;
1968;	Konrad Rudolph;	447302;	83;
34509;	Johannes Schaub - litb;	445532;	62;
1583;	Oded;	444791;	100;
476;	deceze;	443092;	70;
224671;	kennytm;	441764;	67;
87234;	GManNickG;	434955;	100;
20860;	Bill Karwin;	425146;	92;
279627;	Sven Marnach;	424401;	82;
16417;	Paolo Bergantino;	424117;	93;
939860;	Erwin Brandstetter;	417933;	100;
922184;	Mysticial;	416720;	null;
217408;	G&#252;nter Z&#246;chbauer;	416677;	97;
179910;	Jerry Coffin;	414122;	null;
31671;	alex;	409451;	91;
148870;	Amber;	406817;	null;
596781;	Kerrek SB;	406053;	80;
367273;	NPE;	403962;	96;
3832970;	Wiktor Stribiżew;	403375;	null;
187606;	Pekka;	400461;	90;
341994;	matt;	394985;	93;
65863;	Remy Lebeau;	394932;	75;
284240;	Tim Schmelter;	391469;	93;
227665;	codaddict;	385726;	33;
119963;	Cascabel;	385069;	null;
73226;	Martin Smith;	381584;	100;
771848;	alecxe;	379023;	100;
479863;	mu is too short;	377570;	75;
27535;	gbn;	375244;	89;
50079;	Jon;	375023;	67;
330315;	a_horse_with_no_name;	374792;	78;
95592;	Matthew Rankin;	374171;	77;
33708;	Mehrdad Afshari;	372356;	83;
21234;	skaffman;	368580;	91;
276052;	aioobe;	364398;	80;
55159;	Quassnoi;	361834;	79;
138475;	Pascal MARTIN;	360675;	null;
1288;	Bill the Lizard;	350864;	93;
114251;	Arun P Johny;	350536;	87;
182668;	Pointy;	350342;	68;
28169;	unwind;	346268;	88;
560648;	Lightness Races in Orbit;	344892;	94;
1271826;	Rob;	344731;	100;
223092;	Mark Longair;	343905;	68;
3043;	Joel Coehoorn;	343552;	70;
10661;	S.Lott;	342538;	91;
413501;	Ladislav Mrnka;	341732;	86;
440558;	Some programmer dude;	340571;	75;
139459;	Sarfraz;	339676;	97;
734069;	Nicol Bolas;	339001;	80;
9530;	Adam Rosenfield;	338898;	78;
